artifact_id,path,exists,indexed_in_reports_index,referenced_in_closeout_csv,primary_closeout_rows,note
project_map,docs/reports/2026-07-09-project-understanding-and-priority-map-cn.md,yes,yes,yes,"CLOSE-02|CLOSE-05|CLOSE-06|CLOSE-07","Current top-level project map is both indexed and referenced from the closeout ledger."
execution_timeline,docs/reports/2026-07-09-7day-training-writing-execution-timeline-cn.md,yes,yes,yes,"CLOSE-02|CLOSE-05|CLOSE-06|CLOSE-07","Execution timeline is indexed and referenced from the closeout ledger."
close02_arrival_playbook,docs/reports/2026-07-09-close02-artifact-arrival-playbook-cn.md,yes,yes,yes,"CLOSE-02|CLOSE-05|CLOSE-06|CLOSE-07","Artifact-arrival branching guidance is wired into the relevant closeout rows."
gate2_packet,docs/reports/2026-07-09-gate2-evidence-packet-cn.md,yes,yes,yes,CLOSE-05,"Gate-2 evidence packet is indexed and referenced by the Gate-2 ledger row."
gate2_day_runbook,docs/reports/2026-07-09-gate2-freeze-day-runbook-cn.md,yes,yes,yes,CLOSE-05,"Gate-2 freeze-day runbook is indexed and referenced by the Gate-2 ledger row."
gate2_report_template,docs/reports/data/2026-07-14-gate2/gate2_report_zh.template.md,yes,yes,yes,CLOSE-05,"Gate-2 report template is indexed and referenced by the Gate-2 ledger row."
abstract_freeze_candidate,docs/reports/2026-07-09-abstract-freeze-candidate-cn.md,yes,yes,yes,CLOSE-06,"Abstract freeze candidate remains indexed and referenced by the abstract ledger row."
abstract_day_runbook,docs/reports/2026-07-09-abstract-freeze-and-submission-runbook-cn.md,yes,yes,yes,CLOSE-06,"Abstract freeze and submission runbook is indexed and referenced by the abstract ledger row."
abstract_submission_template,docs/reports/data/2026-07-20-abstract-submission/abstract_submission_record.template.md,yes,yes,yes,"CLOSE-06|CLOSE-08","Abstract submission template is indexed and referenced from the abstract and review ledger rows."
close08_runbook,docs/reports/2026-07-09-close08-pre-submission-review-runbook-cn.md,yes,yes,yes,CLOSE-08,"Pre-submission review runbook is indexed and referenced by the review ledger row."
close08_log_template,docs/reports/data/2026-07-26-close08/close08_review_log.template.md,yes,yes,yes,CLOSE-08,"Pre-submission review log template is indexed and referenced by the review ledger row."
closeout_execution_manifest,docs/reports/2026-07-09-closeout-execution-asset-manifest-cn.md,yes,yes,no,meta,"Human-readable execution manifest is indexed in the reports index."
closeout_execution_manifest_csv,docs/reports/data/2026-07-09-closeout-execution-asset-manifest.csv,yes,yes,no,meta,"Machine-readable execution manifest is indexed in the reports index."
reports_index,docs/reports/INDEX.md,yes,no,no,meta,"Reports index exists and now includes a dedicated current closeout section."
closeout_csv,issues/2026-07-06_evidence-priced-schedule-and-closeout.csv,yes,no,no,meta,"Closeout CSV remains the state source rather than an indexed reports document."
