"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"P0-0","P0","1","infra","Freeze r6a source evidence and issue the EPE/phi_R amendment","Bind the immutable r6a source and evidence artifacts, then document c100 scope, the U_ds/EPE generation boundary, the frozen phi_R sign inconsistency, Beauty test-only disclosure, and E7 not-estimable status.","WHEN the dated manifest and memo are written THEN every source/E1/RISK-03/RISK-04/RISK-05/r6a queue/result input has a path and SHA-256; WHEN phi_R is recorded THEN Beauty is 1.0/0.1366311174092942/0.0 and Steam is 1.0/0.05808110271503808/0.0; WHEN c100 is described THEN best-summary byte identity is separated from checkpoint identity and spontaneous u_tilde collapse is explicitly withdrawn; HARD STOP: do not modify any frozen r6a byte; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:67","CONTRACT","scientific-critical-thinking;verification-before-completion","mcp__fast_context__fast_context_search","Check all cited paths/hashes against live read-only server evidence and distinguish artifact fact, implementation inference, and manuscript interpretation.","Recompute manifest hashes; verify the memo says phi_R is increasing in observed EPE for the frozen values despite the parent non-increasing-risk text; verify E7 remains not_estimable and no FPM rerun is proposed.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:67; docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:108; scripts/aaai27_adapters/preregistration.py:43; docs/reports/data/2026-07-12-r7-evidence-amendment/EPE_PHI_R_METHOD_AMENDMENT.md:1; docs/reports/data/2026-07-12-r7-evidence-amendment/r6a_evidence_manifest.json:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; approved:2026-07-12; cpu_only:true; blocks:P0-1,P0-4,P0-6; no_frozen_writes:true; picked_reason:highest-priority evidence arbitration blocks every code and manuscript claim; done_at:2026-07-12T15:00:00+08:00; skills_used:scientific-critical-thinking;verification-before-completion; mcp_used:mcp__fast_context__fast_context_search; mcp_evidence:fast-context located RISK-03/RISK-05/E1 tracked sources; evidence:manifest_sha256=de6106d3e65da510d1f8c035fc756e3e2fd850ab6f2b48890848b14695a59b92 memo_sha256=221be0bd8d1672ca572c80ce15a5b533ff5293447acd1aa7552f1277a4dd7754 frozen_source_rehash=matched; claim_scope:EPE exposure proxy, phi_R reliability scale, c100 explicit zero-scale sanity check"
"P0-1","P0","2","backend","Repair anchor-only gate-source selection with seven regression checks","Add exactly one dataset-scale override of 1.0 to every anchor-only argv and leave production model/text_side.py unchanged.","WHEN the adapter builds the E1-pass matrix THEN all six anchor argv have exactly one text_side.gate_dataset_scale_override=1.0 and no utility-report token; WHEN a clean-phi-zero proposal fixture runs THEN g equals g_max, final proposal differs from p_core, and final proposal equals the fixed anchor mixture; WHEN full c100 and global_p run THEN each still returns p_core exactly; WHEN regressions run THEN the existing E1 and queue contracts remain green; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:81","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Reproduce the r6a anchor failure and the post-mixture closed-gate overwrite from the frozen source; observe the new final-proposal test fail before editing the adapter.","Run the seven dated checks plus test_r6_launch_contract, test_risk04_08_queue_safe_adapters, test_text_side_proposal, and E1/global-p regressions; verify model/text_side.py SHA is unchanged.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:81; scripts/aaai27_adapters/pilot_adapters.py:137; model/text_side.py:535; tests/test_r6_launch_contract.py:1; docs/reports/data/2026-07-12-r7-anchor-adapter-repair/anchor_gate_source_test_report.md:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; adapter_only:true; production_model_unchanged:true; prerequisite:P0-0; picked_reason:adapter repair is the first code blocker for all six anchor controls; done_at:2026-07-12T15:20:00+08:00; skills_used:systematic-debugging;test-driven-development;verification-before-completion; mcp_used:mcp__fast_context__fast_context_search; evidence:RED 2 failures for missing scale/final core override and 1 failure for duplicate full scale; GREEN targeted 3/3 and regression 63/63; adapter_sha256=60b6245e18a09111ca2ea153bfd9feb797e204d437e1fde443ee768f77efb129; report_sha256=07c4c4da9881bd4ea4a7a17832d9ab457ee6cd1a5eaf48fcd35fd75f8254ca32; production_model_diff=empty"
"P0-2","P0","3","backend","Implement fail-closed pilot task wrapper and per-run artifact manifests","Stream child output into nonempty run and queue logs and emit a provenance-bound passing artifact manifest only after successful summary validation.","WHEN a wrapped child succeeds THEN run-local single_train.log is nonempty and artifact_manifest.json binds task/queue/source/config/split/bank/summary/log/evaluator/selector/null-reference provenance with hashes; WHEN a child fails or summary/log/hash validation fails THEN wrapper exits nonzero and no passing artifact manifest exists; WHEN an evidence arm runs THEN null_curve_reference_policy is frozen_clean_calibration with clean-source-bank and current-embedding hashes; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:103","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Write failing real-subprocess tests for zero-byte logs, nonfinite/missing summaries, child failure, path escape, and absent provenance before implementing the wrapper.","Run wrapper unit/integration tests with a real temporary child process; validate artifact self hashes through the production RISK-08 validator; verify queue success artifacts require both summary and artifact manifest.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:103; scripts/aaai27_adapters/pilot_task_wrapper.py:199; scripts/run_aaai27_pilot_task.py:1; scripts/aaai27_adapters/risk04_08.py:617; scripts/aaai27_queue/validation.py:191; tests/test_aaai27_pilot_task_wrapper.py:1; docs/reports/data/2026-07-12-r7-pilot-wrapper/PILOT_WRAPPER_TEST_REPORT.md:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; prerequisite:P0-1; empty_log_is_failure:true; manual_manifest_forbidden:true; picked_reason:artifact manifests and nonempty logs are required before any r7 queue can satisfy original RISK-08; done_at:2026-07-12T16:10:00+08:00; skills_used:systematic-debugging;test-driven-development;verification-before-completion;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; mcp_evidence:fast-context located wrapper, queue validator, RISK-08 validator, and stale direct-entry/single-artifact fixtures; evidence:real-child wrapper 8/8 pass, combined regression 87 tests OK with 1 pre-existing skip, py_compile/git-diff-check/model-diff all exit 0; wrapper_sha256=ca3cdea28c6c178dcf53cbc01ad844b98bf2cbd8ccc3f891b4464f3cc4510aa7; report_sha256=64916dd2c9b6b1bd2ae10139197d669318d351bd9168f35c4c43b80de4828125; production_model_diff=empty; claim_scope:local wrapper and artifact-contract tests only, no server deployment or training; continue_now:P0-3 artifact-derived pilot report and RISK-08 finalizer"
"P0-3","P0","4","backend","Freeze artifact-derived pilot report and RISK-08 finalizer","Build the fourteen-artifact pilot report and replay the original frozen response criteria without hand-entered metrics or rescue discretion.","WHEN fourteen passing artifacts are supplied THEN the report contains validation/test HR@10 and NDCG@10 for every arm, host-relative deltas, frozen EPE/phi_R, every preregistered condition, and one deterministic phenomenon_pass; WHEN any artifact/value/hash is missing or nonfinite THEN report generation fails closed or phenomenon_pass is false with reasons retained; WHEN the report is valid THEN run_risk08_decision accepts it from the same queue root; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:128","CONTRACT","systematic-debugging;test-driven-development;research-writing-assistant:statistical-analysis;verification-before-completion","mcp__fast_context__fast_context_search","Check the exact frozen RISK-05 predictions, rho threshold, adjacent tolerance, worst-delta rule, and all-fourteen identity binding before writing decision code.","Test PASS and each independent failure condition using artifact-derived fixtures; verify metrics cannot enter directly, Spearman uses all six anchor points, failed values remain visible, and the original no-rescue RISK-08 validator emits at most one exit.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:128; docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:243; scripts/aaai27_adapters/pilot_report.py:414; scripts/finalize_r7_pilot.py:1; tests/test_r7_pilot_report.py:1; docs/reports/data/2026-07-12-r7-pilot-finalizer/PILOT_REPORT_FINALIZER_TEST_REPORT.md:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; prerequisite:P0-2; decision_source:artifact_metrics; no_rescue:true; picked_reason:P0-3 is the last code-level evidence gate before safe r7 deployment; done_at:2026-07-12T15:58:11+08:00; skills_used:systematic-debugging;test-driven-development;research-writing-assistant:statistical-analysis;verification-before-completion;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; mcp_evidence:located exact RISK-05 thresholds, predictions, original RISK-08 input contract, and all fourteen queue bindings; remote_read_only_evidence:raw risk05_preregistration.json confirmed phi_R and thresholds; evidence:dedicated 10/10 pass, combined 97 tests OK with 1 pre-existing skip, original RISK-08 integration writes one immutable exit, py_compile/git-diff-check/model-diff all exit 0; pilot_report_sha256=cffd725f554ab2a57828a3ddd8647bf4515f0d1713c39f7062ea998851c349aa; finalizer_sha256=b88a0943e48eb47e7e1a49acdef683502c54f05cab4057fb070e0cb04a095f40; report_sha256=9b39058fa5749d76b354de1d73377424c4a56be2a50a3d8c781940a114c24118; claim_scope:local artifact-derived decision pipeline only, real r7 phenomenon remains unknown; continue_now:P0-4 dated r7 source and atomic queue"
"P0-4","P0","5","infra","Build and validate the dated r7 source and atomic queue","Deploy the reviewed patch into a new source snapshot and generate a hash-bound queue with fourteen active E1-pass tasks and an explicit GPU 0/1 allowlist.","WHEN the r7 bundle is built THEN source and queue roots are new dated absent paths, 14 E1-pass tasks and 8 inactive fail-branch tasks validate, seed is 100, six anchor overrides are 1.0, six full overrides retain frozen phi_R, two hosts retain learned-v2 identity, and every task requires summary plus artifact manifest; WHEN dry-run/smoke executes THEN no training starts; HARD STOP: any source/ledger/protocol/hash mismatch or write into r6a aborts launch; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:148","CONTRACT","systematic-debugging;verification-before-completion","mcp__fast_context__fast_context_search","Compare the staged source against the r6a snapshot and reviewed patch; verify no unapproved production-model or numerical-protocol diff exists.","Run manifest validation, controller validate, dry-run, smoke, task-count/argv/hash assertions, GPU-busy simulation, and frozen-root before/after hash audit; record the exact deploy/source/queue manifest SHA-256 values.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:148; scripts/aaai27_adapters/risk04_08.py:500; scripts/aaai27_queue/validation.py:151; scripts/aaai27_r7_resident_queue.py:1; docs/reports/data/2026-07-12-r7-prelaunch/R7_PRELAUNCH_REPORT.md:1; docs/reports/data/2026-07-12-r7-prelaunch/r7_prelaunch_manifest.json:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; prerequisite:P0-0,P0-1,P0-2,P0-3; gpu_ids:0,1; active_runs:14; seed:100; picked_reason:P0-4 is the final no-training deployment gate before the resident controller may be armed; done_at:2026-07-12T16:55:29+08:00; skills_used:mission-recovery;mission-csv-execute;systematic-debugging;test-driven-development;verification-before-completion;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; mcp_evidence:fast-context located resident controller/runtime/finalizer and source-manifest dependency boundaries; evidence:resident RED ModuleNotFoundError then targeted 6/6, local regression 135 OK with 1 pre-existing skip, remote Linux regression 135/135, 45/45 Git source hashes match, generic validate valid, dry-run 14 selected, separate no-op smoke training_started=false, task-contract assertions 15/15, record_count=0, runs/state absent; source_revision:987eb1957cf74528ef81f2fd673aabb5a25e42f7; source_manifest_sha256:33d7e35ec11d27bbbffafa186ac8776408ca83ae0a7eaf31e443e14436512dea; source_manifest_file_sha256:38e448dc26a11b785363fff076bd389fd3543189e5fedf9de75b65aa92b4b513; queue_manifest_sha256:387636c8c5dc5b09bb9c509db26b0f335ecac3ed1525e3c4bee3289612bb966e; finalizer_config_sha256:1796f59f9ed1c4b9a984ae0ed8a8d3d9e8e8164d1ea2bba90166353412c3ab86; frozen_r6a_rehash=matched; gpu_snapshot:gpu0 root PID2987761,gpu1 root PID3072363,r7_pid_count=0; claim_scope:prelaunch contract only, no performance or RISK-08 result; continue_now:P0-5 arm detached resident controller"
"P0-5","P0","6","infra","Arm the resident r7 controller and auto-close the original RISK-08 gate","Start a detached controller that waits for truly free L20 cards, runs one task per card, and finalizes the artifact-derived report and original RISK-08 gate after all active tasks pass.","WHEN both GPUs contain root compute PIDs THEN no r7 training PID starts; WHEN either GPU becomes empty THEN at most one r7 training process starts on that card and the other occupied card is untouched; WHEN all fourteen tasks pass THEN the finalizer creates pilot_report.json and invokes run_risk08_decision in the same queue root; WHEN any task/log/artifact fails THEN execution remains fail-closed and no rescue task is added; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:167","MANUAL","systematic-debugging;verification-before-completion","mcp__fast_context__fast_context_search","Check tmux/controller liveness, physical/logical GPU binding, process ownership, one-process-per-card, queue-root containment, and finalizer prerequisites before detaching.","After launch, query fresh controller status, nvidia-smi compute PIDs, task records, logs, source/queue hashes, and stop_requested; after completion verify 14/14 manifests and the immutable RISK-08 exit. Until GPU release, record waiting_external_gpu without claiming training has started.","进行中","已完成","未开始","未提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:167; scripts/aaai27_queue/runtime.py:202; scripts/aaai27_resident_queue.py:1; scripts/aaai27_r7_resident_queue.py:1; docs/reports/data/2026-07-12-r7-live-start/R7_LIVE_START_VERIFICATION.md:1; docs/reports/data/2026-07-12-r7-live-start/r7_live_start_verification.json:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; prerequisite:P0-4; detached:true; root_jobs_untouched:true; no_colocation:true; picked_reason:P0-5 is now unblocked by the immutable prelaunch pass and must arm the waiting controller before GPU release; started_at:2026-07-12T17:02:15+08:00; execution_state:waiting_external_gpu; session:aaai27_r7_seed100_987eb19; controller_pid:3277670; controller_start_token:71220858; liveness:true; survived_client_disconnect:true; queue_manifest_sha256:387636c8c5dc5b09bb9c509db26b0f335ecac3ed1525e3c4bee3289612bb966e; finalizer_config_sha256:1796f59f9ed1c4b9a984ae0ed8a8d3d9e8e8164d1ea2bba90166353412c3ab86; gpu_snapshot:gpu0 root PID2987761,gpu1 root PID3072363; evidence:14 ready,8 pending,0 running,0 records,0 r7 child PIDs,runs absent,stop_requested=false,actual_gpu_hours=0.0; skills_used:systematic-debugging;verification-before-completion;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; mcp_evidence:located detached tmux entry, controller liveness/status, and no-kill idempotency path; blocked_external:GPU0 and GPU1 remain occupied by root compute jobs; claim_scope:safe detached wait only, not training completion or RISK-08 exit; continue_now:P0-6 CPU/paper integration while P0-5 remains resident"
"P0-6","P0","7","both","Integrate the dated method scope and deadline gates into the paper and runbook","Separate U_ds discovery, RISK-03 exposure measurement, and phi_R reliability-scale intervention; enforce c100 and Beauty disclosure boundaries and the 7/16 and 7/18 downgrade rules.","WHEN paper-facing text is updated THEN U_ds/EPE/phi_R generations are distinct, the frozen sign inconsistency is disclosed, c100 is explicit scale-zero fallback, Beauty val/test are colocated, SASRec and its Beauty anomaly are annotated, DiffuRec is absent from confirmatory comparison, validation-only selection plus development test logging is stated, and every seed-100 outcome is a single-run observation; WHEN 7/16 or 7/18 gates arrive THEN the documented downgrade rule is mechanically applicable; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:181","MANUAL","research-writing-assistant:paper-orchestration;research-writing-assistant:evidence-driven-writing;verification-before-completion","mcp__fast_context__fast_context_search","Audit every affected abstract/method/experiment/caption/reproducibility claim against the dated evidence memo before editing; do not insert unfinished r7 numbers.","Search the paper and runbooks for withdrawn u_tilde-collapse, unconditional 4/4, risk-gated efficacy, significant/stable/equivalent/within-noise, DiffuRec-confirmatory, untouched-test, and Beauty test-only reporting; compile the manuscript or record an exact limited-validation reason.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:181; paper/main_v2.tex:89; paper/main_v2_zh.md:8; paper/references.bib:113; docs/reports/2026-07-09-abstract-freeze-candidate-cn.md:1; docs/runbooks/2026-07-11-e1-pass-risk04-08-experiment-manual.md:309; docs/reports/data/2026-07-12-r7-paper-scope-amendment/PAPER_SCOPE_AMENDMENT.md:1; docs/reports/data/2026-07-12-r7-paper-scope-amendment/VALIDATION_REPORT.md:1","source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; prerequisite:P0-0; deadline:2026-07-18; result_dependent_sections_wait_for:P0-5; picked_reason:P0-6 is GPU-independent and is now the highest-value unblocked path while the resident controller waits; done_at:2026-07-12T17:57:53+08:00; skills_used:using-superpowers;mission-recovery;mission-csv-execute;research-writing-assistant:using-research-writing;research-writing-assistant:paper-orchestration;research-writing-assistant:evidence-driven-writing;research-writing-assistant:latex-output;citation-management;powershell-windows;verification-before-completion; mcp_used:mcp__fast_context__fast_context_search; mcp_evidence:semantic search located the manuscript runbook evidence memo and planning surfaces requiring synchronized claim updates; citation_evidence:Crossref verified SASRec DOI 10.1109/ICDM.2018.00035 and Tectonic generated bibitem/bibcite; evidence:three evidence generations separated in English and Chinese c100 explicit-zero boundary Beauty val/test co-located SASRec four-domain table and anomaly added DiffuRec confirmatory exclusion E7 zero executed bootstrap and test logging disclosed 7/16/7/18/submission-stop gates mechanical; validation:23 cited keys 24 bib keys 0 missing 0 duplicate 49 labels 0 missing/duplicate 50/50 environments Tectonic 0.15.0 fallback build twice exit0 no undefined citation/reference or overfull artifact manifest 15/15 hash and byte match git diff check exit0; validation_limited:aaai27.sty and aaai27.bst absent so official AAAI page/font/style compliance not tested; remaining_risk:three pfig placeholders and P0-5 waiting_external_gpu with zero r7 records and no RISK-08 exit; continue_now:commit P0-6 then execute REVIEW-01 under the recorded external-GPU limitation while P0-5 remains resident"
"REVIEW-01","P0","8","review","Review r7 repair and evidence claims against the approved design","Use an independent same-model review to compare the approved r7 design with delivered code, server artifacts, CSV state, validation evidence, paper wording, and claim/evidence levels.","WHEN P0-0 through P0-6 are closed or honestly marked with external-state limitations THEN review the source-specific claims: anchor proposal is non-core under override 1.0, full c100 remains exact core, no task passes with an empty log, every RISK-08 input is same-root artifact-derived, frozen phi_R sign inconsistency is disclosed, Beauty val/test are colocated, and no r7/r6a single-run result is overstated; WHEN gaps are found THEN append follow-up rows and REVIEW-02; WHEN no gaps remain THEN close the CSV; ref: docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:1","MANUAL","requesting-code-review;verification-before-completion","","Verify all prior non-review rows are closed or all remaining work is an explicitly recorded external-GPU/result dependency before running this review.","Run same-model independent review against the approved design, exact diff/commits, test outputs, remote manifests/logs, RISK-08 artifacts, paper wording, and the seven source-specific claim/evidence checks; low-level fixtures must not be described as production completion.","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md:1; issues/2026-07-12_14-41-00-aaai27-r7-atomic-repair.review.md:1; docs/reports/data/2026-07-12-r7-paper-scope-amendment/VALIDATION_REPORT.md:1; tests/test_r6_launch_contract.py:174; tests/test_text_side_proposal.py:180","review_kind:vision; review_agent:fallback-independent-context; source_doc:docs/superpowers/specs/2026-07-12-aaai27-r7-atomic-repair-design.md; picked_reason:P0-0 through P0-4 and P0-6 are closed while P0-5 is honestly limited by external root-owned GPUs so the review precondition is satisfied; started_at:2026-07-12T18:50:44+08:00; review_range:48db0b9..22335c0; external_limit:P0-5 waiting_external_gpu with zero r7 records and no RISK-08 exit; validation_limited:same-model sub-agent unavailable after two operational timeouts with no returned report; fallback_evidence:direct spec CSV diff source tests dated artifacts and fresh 135 tests 0 failures 1 existing skip; result:gaps_found; gap:full-c100 exact-p_core acceptance lacks a direct manifest-bound value equality regression and is currently inferred from gradient identity plus unchanged production code; minor_gap:P0-6 runbook ref 307 is stale actual amendment line 309; follow_up:FOLLOWUP-01,REVIEW-02; done_at:2026-07-12T19:23:36+08:00; skills_used:requesting-code-review;verification-before-completion;systematic-debugging;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; continue_now:FOLLOWUP-01 direct full-c100 regression"
"FOLLOWUP-01","P0","9","backend","Add direct full-c100 proposal identity regression and repair stale evidence refs","Close the REVIEW-01 claim/evidence gap without changing production numerics: bind both r7 full-c100 argv entries to the production proposal builder and directly test exact core fallback; correct stale P0-6 line references.","WHEN the r7 manifest is built THEN Beauty and Steam full-c100 each contain exactly one text_side.gate_dataset_scale_override=0.0; WHEN each scale is applied to the production v2 kernel builder THEN g is exactly zero and final proposal is exactly equal to p_core; WHEN mutation sensitivity is checked THEN bypassing the closed-gate override makes the new test fail; WHEN regressions run THEN model/text_side.py remains byte-unchanged and the full 12-module suite passes; ref: issues/2026-07-12_14-41-00-aaai27-r7-atomic-repair.review.md:1","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Confirm the existing scale-zero test checks only gradient identity and trace the full-c100 argv through pilot_adapters into TextSideProposalBuilder before editing.","Run the new test in normal and mutation-sensitive modes, then the retained 12-module regression; rehash model/text_side.py and update the dated anchor report and CSV refs without overstating a production run.","已完成","已完成","已完成","已提交","","issues/2026-07-12_14-41-00-aaai27-r7-atomic-repair.review.md:1; tests/test_r6_launch_contract.py:251; model/text_side.py:598; scripts/aaai27_adapters/pilot_adapters.py:244; docs/reports/data/2026-07-12-r7-anchor-adapter-repair/anchor_gate_source_test_report.md:95; docs/runbooks/2026-07-11-e1-pass-risk04-08-experiment-manual.md:309","source_review:REVIEW-01; production_change_forbidden:true; direct_value_evidence_required:true; stale_ref_fixed:docs/runbooks/2026-07-11-e1-pass-risk04-08-experiment-manual.md:309; amended_report_sha256:b7bce3fb40d2bda515b2f902d49257646746f5382c7ce07122154d20264ae3e6; p0_1_report_sha256_scope:historical pre-FOLLOWUP-01 report version 07c4c4da9881bd4ea4a7a17832d9ab457ee6cd1a5eaf48fcd35fd75f8254ca32; picked_reason:highest-priority executable gap found by vision review; started_at:2026-07-12T19:25:30+08:00; model_text_side_sha256_before:ae28c3b2eb74e479ef7c417296d1104dd247bf849d9926f4cebb86f67d05c46a; model_text_side_sha256_after:ae28c3b2eb74e479ef7c417296d1104dd247bf849d9926f4cebb86f67d05c46a; mutation_evidence:temporarily bypassing scale-zero closed gate made the new test fail on pilot.e1_pass.Beauty.full.c100 then restoring the branch made it pass; evidence:new test binds Beauty and Steam full-c100 tasks each to exactly one override 0.0 and asserts g exact zero plus proposal tensor-exact p_core; validation:targeted pass after mutation restoration full 12-module suite 136 tests OK with 1 existing skip git diff model/text_side.py empty; done_at:2026-07-12T19:30:45+08:00; skills_used:systematic-debugging;test-driven-development;verification-before-completion;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; continue_now:REVIEW-02"
"REVIEW-02","P0","10","review","Re-review r7 claim/evidence alignment after full-c100 regression","Independently verify that FOLLOWUP-01 closes the only actionable REVIEW-01 mismatch while P0-5 remains honestly external-limited.","WHEN FOLLOWUP-01 is closed THEN review the direct Beauty/Steam full-c100 value equality evidence, mutation sensitivity, unchanged production hash, updated report/refs, full regression, and all original seven claim boundaries; WHEN no mismatch remains THEN return vision_met for the implemented/paper scope while keeping P0-5 pending; ref: issues/2026-07-12_14-41-00-aaai27-r7-atomic-repair.review.md:1","MANUAL","requesting-code-review;verification-before-completion","","Read the follow-up diff and fresh evidence without trusting the primary summary; distinguish production behavior from regression-test evidence and keep the external GPU result pending.","Use a same-model sub-agent if operationally available; otherwise record the exact limitation and perform a direct independent-context fallback. Re-run the direct test and inspect model/text_side.py hash before closing.","已完成","已完成","已完成","已提交","","issues/2026-07-12_14-41-00-aaai27-r7-atomic-repair.review.md:27; tests/test_r6_launch_contract.py:251; model/text_side.py:598; scripts/aaai27_adapters/pilot_adapters.py:244; docs/reports/data/2026-07-12-r7-anchor-adapter-repair/anchor_gate_source_test_report.md:95","review_kind:vision; review_agent:same-model-sub-agent:/root/review_r7_followup; prerequisite:FOLLOWUP-01; external_limit:P0-5 waiting_external_gpu; picked_reason:FOLLOWUP-01 is closed in commit 953fd0d and REVIEW-02 is now the highest-priority unblocked row; started_at:2026-07-12T19:33:24+08:00; review_range:9d9f0a8..953fd0d; evidence:independent reviewer plus primary fresh targeted 1/1 and 12-module 136 tests OK with 1 existing skip, mutation failed at Beauty full-c100 value assertion, production Git blob unchanged, live remote 14 ready 0 records RISK-08 null; result:gaps_found; severity:minor_only; gap:stale P0-4 deployment sentence and missing amended report hash binding; follow_up:FOLLOWUP-02,REVIEW-03; done_at:2026-07-12T19:48:00+08:00; skills_used:requesting-code-review;verification-before-completion;powershell-windows; mcp_used:mcp__fast_context__fast_context_search; continue_now:FOLLOWUP-02"
