"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"RISK-00","P0","1","infra","Freeze the evidence-risk rescue scope","Create a dated confirmation memo that replaces the uniform-improvement story with the evidence-risk audit, removes DiffuRec from confirmatory comparison, preserves all DiffuRec artifacts, and freezes the required baseline block and deadlines.","WHEN the memo is generated THEN it names SASRec, Caser, GRURec, and DiffRec as the required external confirmation block and labels BERT4Rec optional; WHEN DiffuRec is excluded THEN its frozen files and hashes remain present and the memo states that exclusion is due to model-family mismatch rather than outcome; WHEN scope is frozen THEN no experiment outside this CSV is authorized; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:1","CONTRACT","research-writing-assistant:paper-orchestration;verification-before-completion","mcp__fast_context__fast_context_search","Check the memo distinguishes DiffRec from DiffuRec and does not delete, rename, or overwrite any frozen artifact.","Verify every later paper-facing baseline table follows the frozen block, published-reference numbers are separated from local reruns, and the 2026-07-14, 2026-07-18, 2026-07-20, 2026-07-27, and 2026-07-30 cutoffs remain explicit.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:1; docs/reports/data/2026-07-10-evaluator-amendment/e0_evaluator_amendment.md:29; paper/main_v2.tex:603","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R0; deadline:2026-07-11; diffurec_confirmatory:false; preserve_diffurec_artifacts:true; risk:high scope drift would invalidate confirmation"
"RISK-01","P0","1","infra","Lock the shared evaluator and validation selector","Turn the E0 full-tail repair into one versioned train-validation-test contract reusable by host, ours, and every external baseline, including deterministic evaluation RNG where required.","WHEN a model adapter loads paper_raw_v1 THEN it consumes the frozen train, val, and test frames without native resplitting and ranks every real catalog item while excluding only documented padding or pseudo-item slots; WHEN validation runs THEN checkpoint selection uses validation NDCG@10 only with row-weighted tail-complete aggregation; WHEN test runs THEN the same candidate and aggregation contract is used and evaluated row count equals protocol row count; HARD STOP: any method-specific candidate or tail rule prevents quantitative comparison; ref: docs/reports/data/2026-07-10-evaluator-amendment/e0_evaluator_amendment.json:217","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Check item-ID adaptation, padding semantics, stochastic evaluation seeding, row weighting, tail coverage, and validation-only selection before any launcher can pass its protocol audit.","Verify all locally rerun methods record evaluator version, selector metric, eval seed, expected and evaluated rows, split hashes, and candidate policy; verify no legacy-selected DiffuRec checkpoint is used to claim selector equivalence.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:140; docs/reports/data/2026-07-10-evaluator-amendment/e0_evaluator_amendment.json:217; scripts/evaluate_frozen_checkpoint.py:1","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R0; blocks:RISK-06,RISK-07,RISK-10,RISK-11,RISK-12,RISK-13,RISK-14; training_runs:0; gpu_hours:1-3"
"RISK-02","P0","1","backend","Amend optimizer ownership and rerun the E1 lockstep trace","Choose one canonical ownership model for the core proposal parameter and make host, global_p, closed-gate full, and nonzero-gate full production paths use consistent trainable and optimizer semantics.","WHEN copied initialization and ordered batches are used THEN steps 0, 1, 100, and 1000 match for parameter identity, trainable flags, optimizer membership and group state, RNG, proposal rows, loss terms, gradients, updates, and fixed-seed sampling within FP32 max-abs tolerance 1e-6 for every g-zero path; WHEN any tracked field differs THEN no E1 pass marker is written, end-to-end equivalence and unqualified safety wording are removed, and the expensive three-seed matrix remains blocked; ref: docs/reports/data/2026-07-10-e01-gzero-production-trace/e01_gzero_hard_stop_zh.md:5","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Determine the intended scientific ownership before changing code; check the amendment fixes a semantic inconsistency rather than tuning toward observed metrics and preserves the canonical initial parameter hash contract.","Verify the new trace compares real production paths, not re-derived mock formulas; verify the first prior divergence core_proposal_logits.in_optimizer is explicitly closed or retained as a hard stop; verify old E1 evidence remains archived.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:119; docs/reports/data/2026-07-10-e01-gzero-production-trace/e01_gzero_hard_stop_zh.md:5; model/text_side.py:502; graph_lib.py:1312; losses.py:11; sampling.py:58","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R1; deadline:2026-07-11T23:59:00+08:00; seed:100; trace_steps:0,1,100,1000; fp32_tolerance:1e-6; blocks:RISK-06,RISK-07,RISK-13,RISK-14; no_rescue_tuning:true"
"RISK-03","P0","1","backend","Implement train-only positive-exposure risk reports","Build a deterministic report for U_ds, exact positive exposure EPE, PNE@10, excess PNE@10, entropy, concentration, and user-level slices from frozen training transitions only.","WHEN the report runs THEN EPE is mean log(q_text(y|h)+1e-12)-log(q_core(y)+1e-12) and PNE@10 includes y plus nine frozen-embedding nearest real items while excluding padding and pseudo-items; WHEN 4000 train transitions are sampled with seed 7 THEN repeated runs reproduce point estimates and hashes; WHEN uncertainty is requested THEN user-clustered resampling is used or marked not-estimable if user IDs are absent; HARD STOP: any validation/test row or target in the risk input invalidates the artifact; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:75","CONTRACT","test-driven-development;systematic-debugging;verification-before-completion","mcp__fast_context__fast_context_search","Check formulas, epsilon, top-10 neighborhood construction, core/text proposal normalization, train-only split provenance, seed, row identities, and item-space exclusions on toy and production contracts.","Verify every report records source paths and SHA-256, candidate policy, sample size, seed, formulas, point estimates, clustered intervals or the exact not-estimable reason; verify existing U_ds values are reproduced before new metrics are interpreted.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:75; scripts/build_gate0_text_utility_report.py:1; model/text_side.py:587; tests/test_build_gate0_text_utility_report.py:1","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; discovery_metric:true; confirmatory_metric:not-yet-frozen; train_rows:4000; sampling_seed:7; cpu_only:true; blocks:RISK-04,RISK-05"
"RISK-04","P0","1","infra","Build and preflight the controlled evidence banks","Create Beauty and Steam popularity-stratified item-embedding permutation banks at 0, 20, 40, 60, 80, and 100 percent corruption with seed 100 and run the train-only risk report on all twelve banks before training.","WHEN each bank is built THEN exactly the declared fraction of eligible real-item rows is permuted within frozen popularity strata while item IDs, tensor shape, row norms, padding and pseudo-item semantics remain valid; WHEN all twelve preflights complete THEN source, bank, permutation, stratum, train split, seed, and code hashes are archived; WHEN neither EPE nor another preregistered primary risk statistic spans a 20 percent relative clean range or 0.5 pooled standard deviations in either dataset THEN no pilot launches and RISK-05 records a stop; ref: scripts/build_corrupted_text_bank.py:44","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Check popularity strata use training information only, no validation/test target influences permutation, fraction counts are exact, collisions and fixed points are reported, and clean banks are not modified.","Verify twelve unique immutable bank hashes, six levels per dataset, corruption seed 100, unchanged item mapping and split hashes, risk-report schema consistency, and zero training launch before preflight publication.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:63; scripts/build_corrupted_text_bank.py:44; dataset/paper_raw_v1/Beauty/protocol.json:1; dataset/paper_raw_v1/Steam/protocol.json:1","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R2-preflight; datasets:Beauty,Steam; corruption_levels:0,20,40,60,80,100; corruption_seed:100; training_runs:0; gpu_hours:0-2; blocks:RISK-05"
"RISK-05","P0","2","infra","Freeze the prospective risk protocol and pilot predictions","Issue a dated preregistration binding one primary risk statistic, the monotone phi_R mapping, 0/60/100 pilot predictions, association direction, run matrix, and pass/fail thresholds before any corresponding validation or test result is read.","WHEN RISK-04 passes range coverage THEN the preregistration records exact formulas, thresholds, phi_R, bank hashes, model config, selector, evaluator, seeds, arm count, predicted ordering, Spearman rho threshold -0.5, 0.002 NDCG reversal tolerance, worst-delta improvement rule, and no-rescue branch; WHEN range coverage fails THEN it closes as no-go and RISK-06/RISK-07 do not launch; AFTER freeze no metric, threshold, corruption level, or prediction may change in this cycle; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:166","MANUAL","research-writing-assistant:experiment-results-planning;verification-before-completion","mcp__fast_context__fast_context_search","Check the primary statistic choice uses only train preflight behavior and mechanism rationale, not validation/test performance, and that discovery inputs are labeled non-confirmatory.","Verify the final report can replay the exact preregistered decision without discretionary interpretation; verify failures remove the predictive claim rather than trigger a finer grid, new metric, threshold, seed, or tuned corruption level.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:166; docs/reports/data/2026-07-02-gate0/gate0_text_utility_report.json:1","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R2; deadline:2026-07-12T23:59:00+08:00; prerequisite:RISK-03,RISK-04; blocks:RISK-06,RISK-07; test_blind_freeze:true"
"RISK-06","P0","2","infra","Run the Beauty 0/60/100 risk-response pilot","Run the frozen Beauty diagnostic pilot at 0, 60, and 100 percent evidence corruption, adding risk_gated_full only on the E1-pass branch.","WHEN RISK-01 and RISK-05 pass and RISK-02 has a terminal outcome THEN run one shared seed-100 host plus text_anchor_only at all three levels; WHEN RISK-02 passes THEN also run risk_gated_full at all three levels for exactly seven Beauty runs, otherwise run the four diagnostic-only host/anchor runs and forbid a method claim; WHEN runs finish THEN report all metrics, risks, gates where applicable, exposure, manifests, bank hashes, selector, evaluator, and unfavorable outcomes; HARD STOP: any config/hash mismatch invalidates the condition and no replacement tuning is authorized; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:177","MANUAL","systematic-debugging;verification-before-completion","mcp__fast_context__fast_context_search","Check conditional four-versus-seven run cardinality, seed 100, arm definitions, shared-host independence from bank, one process per GPU, isolation, RISK-02 terminal evidence, and prelaunch binding to the preregistration.","Verify all 0/60/100 diagnostic conditions appear together, risk_gated_full appears only with E1 pass, no result is omitted, metric rows equal Beauty protocol counts, kernel_version and E1 outcome are recorded, and language remains single-run observation.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:177; scripts/run_text_side_main_table_tmux.sh:1; model/text_side.py:502","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R3-input; prerequisite:RISK-01,RISK-02-terminal,RISK-05; dataset:Beauty; runs_if_e1_pass:7; runs_if_e1_fail:4; seed:100; gpu_hours:1-3; isolated_dirs:true; one_train_process_per_gpu:true"
"RISK-07","P0","2","infra","Run the Steam 0/60/100 risk-response pilot","Run the frozen Steam diagnostic pilot at 0, 60, and 100 percent evidence corruption, adding risk_gated_full only on the E1-pass branch.","WHEN RISK-01 and RISK-05 pass and RISK-02 has a terminal outcome THEN run one shared seed-100 host plus text_anchor_only at all three levels; WHEN RISK-02 passes THEN also run risk_gated_full at all three levels for exactly seven Steam runs, otherwise run the four diagnostic-only host/anchor runs and forbid a method claim; WHEN runs finish THEN report all metrics, risks, gates where applicable, exposure, manifests, bank hashes, selector, evaluator, and unfavorable outcomes; HARD STOP: any config/hash mismatch invalidates the condition and no replacement tuning is authorized; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:177","MANUAL","systematic-debugging;verification-before-completion","mcp__fast_context__fast_context_search","Check conditional four-versus-seven run cardinality, seed 100, arm definitions, shared-host independence from bank, one process per GPU, isolation, RISK-02 terminal evidence, and prelaunch binding to the preregistration.","Verify all 0/60/100 diagnostic conditions appear together, risk_gated_full appears only with E1 pass, no result is omitted, metric rows equal Steam protocol counts, kernel_version and E1 outcome are recorded, and language remains single-run observation.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:177; scripts/run_text_side_main_table_tmux.sh:1; model/text_side.py:502","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R3-input; prerequisite:RISK-01,RISK-02-terminal,RISK-05; dataset:Steam; runs_if_e1_pass:7; runs_if_e1_fail:4; seed:100; gpu_hours:8-24; isolated_dirs:true; one_train_process_per_gpu:true"
"RISK-08","P0","2","infra","Apply the controlled-response go or no-go gate","Evaluate the Beauty and Steam pilot exactly once against the frozen phenomenon, method, and provenance criteria, then select the method, audit-only, or stop exit.","WHEN both pilot artifacts exist THEN compute every preregistered adjacent ordering, descriptive Spearman rho, host-relative delta, and protocol check without adding analyses; WHEN the phenomenon criteria and E1 pass and the risk-gated worst-delta criterion hold THEN authorize the risk-gated method exit; WHEN the phenomenon criteria hold but E1 fails THEN select bounded evidence-risk audit without risk-gated training or optimizer/end-to-end reduction claims; WHEN the phenomenon fails or protocol parity fails THEN stop the main-track rescue and forbid metric, threshold, grid, corruption, or seed rescue; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:188","CONTRACT","research-writing-assistant:statistical-analysis;verification-before-completion","mcp__fast_context__fast_context_search","Check the decision implementation reads the dated preregistration and raw artifacts rather than paper prose or hand-entered favorable values, and treats the method criterion as not applicable on the E1-fail diagnostic branch.","Verify one and only one exit is selected, every failed or not-applicable subcriterion is visible, negative outcomes remain archived, and authorization flags for RISK-10 through RISK-18 match the selected exit.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:188; docs/reports/data/2026-07-06-gate1/sprint05_gate1_report.json:1","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; gate:R3,R4; deadline:2026-07-13T23:59:00+08:00; decision_deadline:2026-07-14; prerequisite:RISK-06,RISK-07; no_rescue:true"
"RISK-09","P1","3","infra","Build the shared-protocol classic baseline adapter","Implement one audited adapter interface for SASRec, Caser, and GRURec that directly consumes paper_raw_v1 frames, preserves item mapping, uses the common selector/evaluator, and records a frozen author-default configuration.","WHEN each model is selected THEN the adapter constructs training examples from existing frames without native preprocessing or resplitting and emits manifest, best/latest checkpoints, validation/test metrics, and row provenance; WHEN toy and production-contract tests run THEN ID adaptation, padding, candidates, selector, tail rows, and deterministic seed behavior pass for all three models; HARD STOP: a model that cannot satisfy protocol parity is excluded as a documented gap before any of its four-domain training launches; ref: docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:151","CONTRACT","systematic-debugging;test-driven-development;verification-before-completion","mcp__fast_context__fast_context_search","Check one predeclared config per model, no test-based tuning, no native split, no sampled-candidate evaluation, and no writes to frozen host/full artifact roots.","Verify all adapters share evaluator/selector code rather than reimplementing metrics, record software versions and exact CLI/config, and make all-four reporting mechanically enforceable.","未开始","未开始","未开始","未提交","","docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md:151; scripts/run_close04_diffurec.py:38; scripts/build_close04_external_baseline_table.py:1","source_doc:docs/superpowers/specs/2026-07-10-aaai27-evidence-risk-rescue-design.md; prerequisite:RISK-01; models:SASRec,Caser,GRURec; training_runs:0; blocks:RISK-10"
